0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,0,224.4,0,0,0,193.7,0,0,0,0,0,0,218.4,0
0,0,0,0,28.08,0,187.4,0,0,0,238.8,0,0,125.8,393,0
0,0,0,0,0,0,362.6,0,320,3.9,0,0,33.1,0,0,0
224.4,0,0,0,0,0,0,0,0,0,0,0,0,0,278.3,206.2
0,28.08,0,0,0,0,314.4,56.2,0,0,0,112.6,152.1,0,280.3,0
0,0,0,0,0,0,0,0,182,0,0,273.4,178.4,0,0,0
0,187.4,362.6,0,314.4,0,0,0,0,345.7,0,0,200.3,210.9,0,0
193.7,0,0,0,56.2,0,0,0,0,0,0,230.9,0,0,47.7,0
0,0,320,0,0,182,0,0,0,0,0,0,81.6,0,0,0
0,0,3.9,0,0,0,345.7,0,0,0,0,0,0,220.4,0,0
0,238.8,0,0,0,0,0,0,0,0,0,0,0,191.4,61.7,182.2
0,0,0,0,112.6,273.4,0,230.9,0,0,0,0,137.9,0,0,0
0,0,33.1,0,152.1,178.4,200.3,0,81.6,0,0,137.9,0,0,0,0
0,125.8,0,0,0,0,210.9,0,0,220.4,191.4,0,0,0,0,0
218.4,393,0,278.3,280.3,0,0,47.7,0,0,61.7,0,0,0,0,197.4
0,0,0,206.2,0,0,0,0,0,0,182.2,0,0,0,197.4,0
